kappa,recall,TP,TN,FP,FN,f2,prec,f3,f4
153,0.763157894736842,0.894736842105263,34,33,5,4,0.890052356020943,0.871794871794872,0.89238845144357,0.893353941267388
134,0.864864864864865,0.945945945945946,35,34,3,2,0.940860215053763,0.921052631578947,0.943396226415094,0.944444444444445
145,0.84375,0.9375,30,29,3,2,0.93167701863354,0.909090909090909,0.934579439252336,0.935779816513762
70,0.8,0.914285714285714,32,31,4,3,0.909090909090909,0.888888888888889,0.911680911680912,0.912751677852349
141,0.647058823529412,0.794117647058823,27,29,5,7,0.803571428571429,0.84375,0.798816568047337,0.796875
192,0.871794871794872,0.974358974358974,38,35,4,1,0.95959595959596,0.904761904761905,0.966921119592875,0.96996996996997
210,0.8125,0.90625,29,29,3,3,0.90625,0.90625,0.90625,0.90625
77,0.894736842105263,0.921052631578947,35,37,1,3,0.930851063829787,0.972222222222222,0.925925925925926,0.923913043478261
220,0.891891891891892,0.945945945945946,35,35,2,2,0.945945945945946,0.945945945945946,0.945945945945946,0.945945945945946
55,0.833333333333333,0.916666666666667,33,33,3,3,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667
